# Selection   : patch(inlet)
# Faces       : 376
# Area        : 3.835388e-01
# Time        	areaAverage(p)	areaAverage(U)
32.8          	3.121908e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
32.9          	3.121202e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
33            	3.118432e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
33.1          	3.118268e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
33.2          	3.118012e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
33.3          	3.117576e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
33.4          	3.115894e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
33.5          	3.115870e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
33.6          	3.114655e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
33.7          	3.114189e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
33.8          	3.112833e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
33.9          	3.110554e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
34            	3.109898e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
34.1          	3.108978e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
34.2          	3.108692e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
34.3          	3.108055e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
34.4          	3.106834e-04	(0.000000e+00 0.000000e+00 -5.706577e-03)
